pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
47862690,4,0,0,0,3,1,0,1
47882704,4,0,0,0,3,1,0,1
47982688,4,0,0,4,3,1,2,1
48022702,2,2,2,0,3,1,0,1
48062708,1,2,0,0,3,1,0,1
48122730,1,1,2,0,0,0,0,0
48202738,2,2,2,0,0,0,0,0
48222780,3,3,2,0,0,1,0,0
48342774,3,3,2,0,0,0,2,0
48442784,3,3,2,0,3,1,0,1
48462776,3,3,2,0,0,1,0,0
48482762,3,3,2,0,1,4,2,0
46562790,3,3,2,0,3,4,0,1
46662780,2,2,2,4,0,1,2,1
46662794,4,0,0,4,0,1,2,0
46722786,1,1,2,0,0,0,0,0
46722792,2,2,2,0,0,1,0,0
46782766,1,1,4,2,3,1,1,3
46782778,1,1,2,0,0,0,2,0
46842852,2,2,2,4,0,1,2,0
46862842,2,0,0,0,0,4,2,0
46942756,1,2,2,4,3,1,4,1
46942842,2,2,0,0,0,0,0,3
46942846,0,4,0,4,0,4,2,1
46942878,0,4,0,4,3,1,2,1
46982766,4,4,2,0,3,1,0,1
47002806,4,0,0,4,3,1,2,1
47002816,0,4,0,2,3,4,4,1
47022848,2,2,0,0,0,0,0,0
47022884,0,4,0,4,0,4,0,1
47042780,1,1,2,4,3,1,2,1
47042788,3,1,2,4,3,1,4,1
47042874,1,2,2,0,3,4,0,1
47082754,3,1,4,2,0,1,4,1
47082776,4,0,0,0,3,1,2,1
47082858,4,0,0,0,0,1,0,1
47102754,3,1,4,1,0,1,4,1
47122762,3,3,2,0,3,1,0,1
47122882,1,1,0,0,0,1,0,1
47182762,3,1,2,2,3,1,4,1
47182802,4,0,0,0,3,1,0,1
47182862,4,0,0,0,0,1,0,1
47202790,2,2,2,0,0,4,2,1
47202848,2,2,0,4,0,1,2,1
47222878,4,4,0,0,3,1,0,1
47242764,1,1,4,2,0,1,4,1
47242774,1,2,4,4,3,1,4,0
47282790,1,2,2,0,0,4,2,1
47302860,4,4,0,4,3,1,0,1
47322802,3,3,2,0,0,4,0,0
47362808,1,1,2,0,0,3,0,3
47362862,2,2,0,0,3,1,0,1
47402780,2,0,4,4,0,1,2,0
47422872,4,0,2,4,0,4,2,1
47462794,4,0,0,0,3,1,0,1
47462830,3,3,2,0,3,4,0,3
47482810,3,3,2,0,0,2,0,3
47482864,1,1,2,4,3,1,2,0
47502772,1,2,3,3,3,0,3,3
47522746,4,0,0,0,3,1,2,1
47522800,4,0,0,0,3,1,0,1
47522858,3,3,2,0,0,4,0,3
47522872,2,2,0,0,0,4,0,0
47582744,1,1,3,1,2,1,4,1
47602836,3,1,2,0,1,1,2,1
47622754,4,0,2,3,0,0,3,0
47642808,1,2,2,0,0,4,2,0
47642862,3,3,2,0,3,1,0,3
47662810,3,3,2,0,3,1,0,0
47662860,3,3,2,0,3,1,0,3
47682754,4,0,2,3,3,0,1,0
47702818,3,3,2,0,3,1,0,0
47722780,1,1,3,1,0,1,1,1
47722816,3,3,2,0,2,1,0,0
47742758,3,1,4,4,2,1,4,0
47742848,3,3,2,0,2,1,0,0
47762734,1,1,3,4,2,4,4,1
47782854,3,3,2,0,3,1,0,3
47802732,2,0,4,4,0,4,2,1
47802746,4,0,2,4,3,4,2,0
47802840,3,3,2,0,2,1,0,0
47822764,3,3,4,4,2,0,2,3
47822830,3,3,0,0,3,1,0,0
47822862,3,3,0,0,3,1,0,0
47862838,3,3,2,0,3,1,0,0
47882830,4,0,0,0,3,1,0,1
47882836,3,3,2,0,3,1,0,0
47942726,2,2,4,4,0,4,4,0
47942784,3,3,2,4,2,1,0,3
47942860,3,3,2,0,3,1,0,0
47942870,3,3,2,0,3,1,0,1
47982796,3,3,2,0,0,4,0,3
47982822,1,1,2,0,3,4,0,0
47982846,3,3,4,0,0,1,2,3
47982850,3,3,4,0,0,4,0,3
48002836,3,3,2,0,2,1,0,1
48002872,1,1,2,0,0,1,0,3
48082834,4,0,0,0,0,1,0,1
48082844,3,3,4,0,3,1,0,0
48122780,3,3,2,0,0,1,0,0
48122798,3,3,2,0,0,4,0,0
48162858,3,3,2,0,3,1,0,0
48182826,3,3,2,0,2,1,0,1
48182862,3,3,4,0,3,1,0,3
48202842,3,3,2,0,0,1,0,1
48222820,3,1,2,0,3,1,0,1
48242800,3,3,2,0,3,1,0,0
48262816,3,3,2,0,0,1,0,1
48282804,3,3,2,4,2,1,2,1
48282866,3,3,2,0,0,4,0,3
45362624,4,0,4,4,3,4,4,0
45382662,1,2,0,0,3,1,0,1
45402624,2,0,4,4,3,4,2,1
45482622,2,0,2,4,0,1,2,1
45542620,4,0,4,4,0,1,4,1
45642652,3,3,2,4,0,1,0,1
45642656,4,0,0,4,3,1,2,1
45682634,4,4,2,2,3,4,4,1
45722612,0,4,4,1,3,4,1,0
45722614,2,2,4,2,0,1,4,0
45842658,4,2,0,4,3,1,2,1
45882618,3,1,4,4,3,1,4,1
45902624,1,1,4,1,0,4,1,1
45962662,2,0,0,4,3,1,2,1
46022620,1,1,2,2,0,1,4,0
46022632,4,0,3,2,3,4,4,0
46062628,2,0,4,2,3,1,2,0
46082614,3,3,2,4,2,1,0,1
46122616,4,0,4,1,3,0,1,0
46182646,2,2,4,4,0,1,4,1
46202640,0,4,2,2,3,4,2,1
46262642,4,4,4,4,3,1,2,1
46342650,4,4,4,4,3,1,2,1
46362660,0,4,0,2,0,4,4,1
46402652,4,0,2,4,3,1,2,0
46422624,2,2,0,0,0,1,0,1
46442642,4,4,2,0,0,0,2,1
46462636,1,1,4,0,3,4,2,1
46482614,2,2,2,0,3,1,2,1
46502658,4,4,0,0,3,0,0,1
46522626,4,0,0,0,3,1,0,1
46522628,2,2,4,2,0,4,1,1
46522640,2,2,0,0,3,1,0,1
46542614,1,1,2,4,0,1,2,1
46562632,1,1,0,0,3,1,0,1
46562646,4,0,2,0,0,1,2,1
46582638,3,3,2,0,0,1,0,1
46602618,3,1,4,4,3,1,2,1
46622648,2,0,4,4,3,1,2,1
46642626,1,1,2,0,0,0,0,1
46682636,3,3,4,4,0,1,2,1
46722638,2,0,0,4,0,1,2,1
46722642,4,0,0,0,0,4,2,1
46762666,0,4,0,2,3,1,2,1
46782664,0,4,2,2,3,1,4,1
46802648,0,4,2,2,0,4,4,0
46842660,0,4,2,2,0,4,4,0
46862662,1,1,2,0,3,1,0,1
46882650,1,1,4,0,3,3,0,3
46882664,2,2,2,0,0,1,0,1
46882668,0,4,0,2,0,4,2,1
46982642,0,4,2,1,3,4,4,0
46982660,4,4,2,4,0,1,2,0
47002640,0,4,2,2,3,4,4,1
47022632,4,4,2,3,3,1,3,1
47022650,4,0,2,2,0,1,4,1
47042630,4,4,4,2,3,4,4,1
47042658,0,4,0,2,0,4,4,1
47082630,0,4,2,2,3,4,4,1
46022704,0,4,2,2,3,4,4,1
46042706,2,2,4,0,0,1,2,1
46102726,1,1,2,4,3,4,2,0
46142734,4,0,0,2,3,1,4,1
46182714,1,1,4,4,3,1,4,1
46202682,0,4,2,4,3,1,2,1
46222728,2,2,3,1,3,0,3,0
46242712,0,4,2,1,0,2,4,1
46262660,4,4,0,2,0,4,4,0
46282726,0,4,4,1,3,0,1,0
46302682,0,4,0,2,0,4,4,1
46362688,0,4,2,3,0,4,1,0
46382686,1,1,2,0,3,1,2,1
46402674,2,2,2,0,0,1,0,1
46402688,1,1,4,4,3,1,4,1
46422672,4,0,4,4,0,2,2,0
46422682,1,1,4,0,3,1,2,1
46422690,0,4,2,1,0,1,1,0
46442684,4,0,0,4,3,1,0,1
46442692,4,0,4,2,3,0,4,0
46442702,0,0,2,2,3,4,4,1
46442710,0,4,4,3,3,2,1,3
46462726,0,4,0,1,3,4,1,1
46502720,0,4,2,2,0,4,4,0
46522674,4,4,4,4,0,4,2,1
46522722,1,2,4,4,3,4,4,1
46562692,0,4,0,2,3,4,4,1
46562722,0,4,0,2,0,1,4,1
46602676,4,4,2,2,0,4,4,0
46602700,2,0,4,0,0,1,2,1
46622668,1,1,4,4,3,4,2,1
46622720,4,0,4,4,0,4,2,1
46642712,0,4,0,2,3,4,4,1
46642736,0,4,2,1,3,1,1,0
46662682,0,4,2,2,0,0,4,1
46682698,4,0,2,4,0,0,2,0
46702674,0,4,0,4,0,1,2,1
46742676,4,0,2,2,0,4,4,0
46762724,1,1,0,0,3,1,2,1
46782690,2,0,4,0,0,1,2,1
46842692,0,4,0,4,3,1,2,1
46842710,4,0,4,0,0,1,2,1
46862694,0,4,2,2,3,4,4,1
46882726,4,0,0,4,3,1,2,1
46942670,0,4,2,1,0,4,4,0
46942692,4,4,0,4,3,1,2,1
46942710,4,4,0,4,3,1,2,1
46962676,1,1,4,4,3,1,4,1
46962682,0,4,4,2,0,0,1,0
46982696,4,0,0,4,3,4,2,1
47042684,2,2,4,4,0,4,4,3
47042738,0,4,4,1,3,1,1,1
47062718,0,4,2,1,3,0,1,1
47082664,0,4,0,2,3,1,2,1
47082720,4,0,0,4,3,1,2,1
47122662,0,4,2,2,3,4,4,1
47122698,0,4,2,2,0,4,4,1
47122706,2,0,2,0,0,4,2,0
47122726,3,1,4,4,3,1,4,1
47162666,4,0,2,0,0,4,2,1
47182690,3,3,4,4,2,1,2,1
47202670,2,2,2,0,0,4,0,0
47202740,0,4,2,4,3,4,2,1
47222654,2,2,2,4,0,1,2,0
