point_id,Rel_soil_fertility_category
47862690,0
47882704,0
47982688,0
48022702,1
48062708,1
48122730,1
48202738,1
48222780,2
48342774,2
48442784,2
48462776,2
48482762,2
46562790,2
46662780,1
46662794,0
46722786,1
46722792,1
46782766,1
46782778,1
46842852,1
46862842,0
46942756,1
46942842,1
46942846,0
46942878,0
46982766,0
47002806,0
47002816,0
47022848,1
47022884,0
47042780,1
47042788,1
47042874,1
47082754,2
47082776,0
47082858,0
47102754,1
47122762,2
47122882,1
47182762,1
47182802,0
47182862,0
47202790,1
47202848,1
47222878,0
47242764,1
47242774,1
47282790,1
47302860,0
47322802,2
47362808,1
47362862,1
47402780,0
47422872,0
47462794,0
47462830,2
47482810,2
47482864,1
47502772,1
47522746,0
47522800,0
47522858,2
47522872,1
47582744,1
47602836,2
47622754,0
47642808,1
47642862,2
47662810,2
47662860,2
47682754,0
47702818,2
47722780,1
47722816,2
47742758,2
47742848,2
47762734,1
47782854,2
47802732,1
47802746,0
47802840,2
47822764,2
47822830,2
47822862,2
47862838,2
47882830,0
47882836,2
47942726,1
47942784,2
47942860,2
47942870,2
47982796,2
47982822,1
47982846,2
47982850,2
48002836,2
48002872,1
48082834,0
48082844,2
48122780,2
48122798,2
48162858,2
48182826,2
48182862,2
48202842,2
48222820,1
48242800,2
48262816,2
48282804,2
48282866,2
45362624,0
45382662,1
45402624,0
45482622,1
45542620,0
45642652,2
45642656,0
45682634,0
45722612,0
45722614,1
45842658,0
45882618,1
45902624,1
45962662,0
46022620,1
46022632,0
46062628,0
46082614,2
46122616,0
46182646,1
46202640,0
46262642,0
46342650,0
46362660,0
46402652,0
46422624,1
46442642,0
46462636,1
46482614,1
46502658,0
46522626,0
46522628,1
46522640,0
46542614,1
46562632,1
46562646,0
46582638,2
46602618,1
46622648,0
46642626,1
46682636,2
46722638,0
46722642,0
46762666,0
46782664,0
46802648,0
46842660,0
46862662,1
46882650,1
46882664,1
46882668,0
46982642,0
46982660,0
47002640,0
47022632,0
47022650,0
47042630,0
47042658,0
47082630,0
46022704,0
46042706,1
46102726,1
46142734,0
46182714,1
46202682,0
46222728,1
46242712,0
46262660,0
46282726,0
46302682,0
46362688,0
46382686,1
46402674,1
46402688,1
46422672,0
46422682,1
46422690,0
46442684,0
46442692,0
46442702,0
46442710,0
46462726,0
46502720,0
46522674,0
46522722,1
46562692,0
46562722,0
46602676,0
46602700,0
46622668,1
46622720,0
46642712,0
46642736,0
46662682,0
46682698,0
46702674,0
46742676,0
46762724,1
46782690,1
46842692,0
46842710,0
46862694,0
46882726,0
46942670,0
46942692,0
46942710,0
46962676,1
46962682,0
46982696,0
47042684,1
47042738,0
47062718,0
47082664,0
47082720,0
47122662,0
47122698,0
47122706,0
47122726,1
47162666,0
47182690,2
47202670,1
47202740,0
47222654,1
47222676,0
47242638,0
47242740,0
47262634,0
47282676,0
47302694,1
47302738,0
47322694,0
47322744,2
47342710,1
47362636,0
47382700,1
47402702,0
47402716,0
47422704,0
47442660,1
47442674,1
47442702,1
47462636,0
47462692,0
47462712,1
47462736,1
47462746,0
47482734,1
47482742,0
47502700,1
47522704,1
47522710,0
47522738,1
47542736,0
47562650,1
47562664,1
47562696,1
47562706,0
47562710,0
47562732,0
47582644,1
47582730,1
47622700,1
47622718,1
47642668,1
47642682,1
47642704,1
47642728,0
47662652,1
47662698,1
47682646,1
47682690,0
47702678,1
47702714,0
47702722,0
47722698,0
47742642,1
47742660,0
47742674,0
47742710,1
47742728,0
47762666,2
47782686,1
47802696,0
47842680,1
47842688,0
27182008,1
27361846,2
27461842,1
27842206,0
28322234,0
28382160,0
28502212,0
28661894,1
28722000,0
45542782,0
45542800,1
45602780,0
45642800,1
45682752,0
